"EPR","EPH","PSIM","RIIAVE","RIIAVELOW","RIIMED","RIIMEDLOW","NPR","NPH","Simulation"
0,0,15.97,3.75,7.04,2.41,5.37,3162044,1157686,"INITIAL"
0,3913,27.81,3.46,5.85,1.88,2.62,3404294,1121345,"RIIAVE"
0,4414,30.08,3.43,5.69,1.66,1.94,3288084,1063240,"RIIAVELOW"
55,5993,39.94,3.34,5.29,0.96,0,3110473,1033319,"RIIMED"
55,4873,33.14,3.4,5.56,1.52,1.11,2970615,1043087,"RIIMEDLOW"
982,0,22.3,3.78,6.97,2.1,4.71,2475819,1196072,"NPR"
0,2874,23.73,3.55,6.19,2.04,3.42,3151209,1044422,"NPH"
